,age,sex,credit_amount,duration,foreign_worker_,class
328,31,male,4473,36,yes,1
891,46,male,1829,15,yes,1
255,27,male,7418,60,yes,1
243,27,male,1185,12,yes,1
492,27,male,1237,6,yes,1
597,36,male,4241,24,yes,0
7,35,male,6948,36,yes,1
951,24,male,2145,36,yes,0
224,30,male,4657,15,yes,1
317,48,male,4351,24,yes,1
127,30,male,639,12,yes,0
587,21,male,1289,12,yes,1
967,54,male,3568,15,yes,1
355,23,male,1246,24,yes,0
896,28,male,2606,21,yes,1
841,28,male,2993,21,yes,1
281,50,male,1574,12,yes,1
702,47,male,1377,24,yes,1
402,27,male,8648,24,yes,0
293,56,male,4796,42,yes,1
96,61,male,2012,12,yes,1
20,48,male,2134,9,yes,1
855,33,male,1474,24,yes,1
104,26,male,2445,12,yes,1
833,42,male,5084,24,yes,1
726,47,male,1316,15,yes,1
197,27,male,951,12,yes,0
793,51,male,2892,24,yes,1
458,27,male,343,6,yes,1
625,35,male,1979,15,yes,1
8,61,male,3059,12,yes,1
429,55,male,1190,18,yes,0
463,38,male,754,12,yes,1
494,39,male,2122,12,no,1
772,36,male,3275,21,yes,1
745,28,male,1797,13,yes,1
382,25,male,1283,22,yes,1
663,35,male,1050,6,yes,1
796,51,male,7511,18,yes,0
158,38,male,3512,24,yes,1
519,36,male,700,6,yes,1
346,23,male,882,13,yes,1
758,31,male,1393,24,yes,1
120,25,male,1835,21,yes,0
516,40,male,1361,6,no,1
455,29,male,2679,24,yes,1
750,49,male,428,6,yes,1
323,28,male,2659,18,yes,1
76,34,male,3965,42,yes,0
579,27,male,937,24,yes,1
925,46,male,697,12,yes,0
392,39,male,3249,36,yes,1
865,20,male,2221,15,yes,1
497,40,male,1585,24,yes,1
874,29,male,3590,12,yes,1
965,26,male,1715,30,yes,1
16,53,male,2424,24,yes,1
309,22,male,276,9,yes,1
684,31,male,9857,36,yes,1
984,30,male,2028,24,yes,1
904,36,male,1278,24,yes,1
246,52,male,717,12,yes,1
948,43,male,1533,18,yes,0
832,29,male,11816,45,yes,0
799,35,male,1549,9,yes,1
251,46,male,2251,12,yes,1
722,24,male,1228,12,yes,0
571,38,male,5954,30,yes,1
318,32,male,701,12,yes,1
854,45,male,10875,36,yes,1
765,40,male,1155,12,yes,1
644,32,male,1880,18,yes,1
527,42,male,1503,4,yes,1
662,50,male,2241,21,yes,1
64,26,male,3181,24,yes,1
698,24,male,1800,18,yes,1
867,42,male,3331,12,yes,1
664,50,male,1047,6,yes,1
515,37,male,609,6,no,1
329,28,male,1068,6,yes,1
103,35,male,1919,9,yes,1
291,28,male,9398,36,yes,0
542,31,male,6350,30,yes,0
167,20,male,1577,11,yes,1
403,27,male,802,14,yes,1
704,32,male,2528,27,yes,1
754,55,male,1555,12,yes,0
568,41,male,3979,48,yes,1
21,44,male,2647,6,yes,1
737,35,male,4380,18,yes,1
840,29,male,5179,36,yes,0
49,28,male,2073,12,yes,1
864,25,male,2210,10,yes,0
351,29,male,959,9,no,0
915,32,male,18424,48,no,0
863,32,male,4526,27,yes,1
933,42,male,522,12,yes,1
672,42,male,10366,60,yes,1
426,29,male,2743,28,yes,1
512,26,male,2687,15,yes,1
498,32,male,1301,18,yes,1
380,39,male,2212,20,yes,1
414,35,male,1381,24,yes,0
229,22,male,3149,24,yes,1
307,33,male,727,12,yes,0
504,24,male,1207,24,yes,0
880,38,male,7814,24,yes,1
553,27,male,1995,12,yes,1
132,27,male,2708,15,yes,1
185,31,male,1360,15,yes,1
817,24,male,1554,6,yes,1
215,39,male,932,6,yes,1
408,26,male,3235,24,yes,1
205,38,male,10623,30,yes,1
882,36,male,2181,30,yes,1
210,33,male,3074,9,yes,1
616,27,male,9157,60,yes,1
247,35,male,1204,6,no,1
781,60,male,1940,24,yes,1
400,39,male,1473,18,yes,1
45,35,male,1393,11,yes,1
32,30,male,5866,18,yes,1
910,34,male,4454,36,yes,1
791,41,male,6313,24,yes,1
14,28,male,1403,15,yes,1
52,25,male,1262,12,yes,1
539,45,male,3049,18,yes,1
666,34,male,3496,30,yes,1
771,25,male,8065,36,yes,0
575,24,male,2788,15,yes,1
823,47,male,731,8,yes,1
327,34,male,1525,24,yes,1
